Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"France","","","FR01003","","SPO-FR01003_00007_100","O3","Ozone (air)","P1Y-dmaxAbove120","1 year daymax exceed 120","2000","5.000","count","91.26","","Traffic","rural","6.1494","49.3494","155.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR01003","","SPO-FR01003_00007_100","O3","Ozone (air)","P1Y-dx-max","1 year day max max","2000","147.125","ug/m3","91.26","","Traffic","rural","6.1494","49.3494","155.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR01004","","SPO-FR01004_00004_100","SPM","Total suspended particulates (aerosol)","P1Y-day-max","1 year day max","2000","40.000","ug/m3","27.05","","Background","rural","6.2717","49.3325","223.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR01008","","SPO-FR01008_00007_100","O3","Ozone (air)","P1Y","Annual mean / 1 calendar year","2000","48.590","ug/m3","91.94","","Background","suburban","6.0508","49.2602","300.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR01008","","SPO-FR01008_00007_100","O3","Ozone (air)","P1Y-dx-avg","1 year daymax average","2000","65.210","ug/m3","90.16","","Background","suburban","6.0508","49.2602","300.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR01008","","SPO-FR01008_00008_100","NO2","Nitrogen dioxide (air)","P1Y-hr-max19","1 year hour max19","2000","80.000","ug/m3","95.61","","Background","suburban","6.0508","49.2602","300.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR01008","","SPO-FR01008_00008_100","NO2","Nitrogen dioxide (air)","P1Y-hr-per50","1 year 50 percentile","2000","10.000","ug/m3","95.61","","Background","suburban","6.0508","49.2602","300.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR01008","","SPO-FR01008_00010_100","CO","Carbon monoxide (air)","P1Y-dx-avg","1 year daymax average","2000","0.452","mg/m3","92.62","","Background","suburban","6.0508","49.2602","300.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR01008","","SPO-FR01008_00010_100","CO","Carbon monoxide (air)","P1Y-dx-max","1 year day max max","2000","2.808","mg/m3","92.62","","Background","suburban","6.0508","49.2602","300.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR01015","","SPO-FR01015_00007_100","O3","Ozone (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2000","43.792","ug/m3","92.90","","Industrial","suburban","6.0514","48.8847","186.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR01015","","SPO-FR01015_00007_100","O3","Ozone (air)","SOMO35","Sum of Ozone Means Over 35 ppb","2000","2952.000","ug/m3","91.80","","Industrial","suburban","6.0514","48.8847","186.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR01015","","SPO-FR01015_00008_100","NO2","Nitrogen dioxide (air)","P1Y-hrsAbove200","1 year hour exceed 200","2000","0.000","count","95.16","","Industrial","suburban","6.0514","48.8847","186.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR02037","","SPO-FR02037_00010_100","CO","Carbon monoxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2000","0.436","mg/m3","98.09","","Background","urban","4.9860","43.4139","23.0","Martigues                                                                       ","FR324C1                                           ","64704","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR02037","","SPO-FR02037_00010_100","CO","Carbon monoxide (air)","P1Y-dx-avg","1 year daymax average","2000","0.745","mg/m3","98.09","","Background","urban","4.9860","43.4139","23.0","Martigues                                                                       ","FR324C1                                           ","64704","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR03001","","SPO-FR03001_00008_100","NO2","Nitrogen dioxide (air)","P1Y-hr-max-per99.79","1 year 99.79 %ile of hourly values in a given year","2000","130.000","ug/m3","96.43","","Traffic","suburban","5.3833","43.2797","38.0","Marseille                                                                       ","FR203C1                                           ","895431","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR03002","","SPO-FR03002_00001_100","SO2","Sulphur dioxide (air)","P1Y-day-max","1 year day max","2000","48.000","ug/m3","98.36","","Traffic","urban","5.4003","43.2901","29.0","Marseille                                                                       ","FR203C1                                           ","895431","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR03006","","SPO-FR03006_00010_100","CO","Carbon monoxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2000","1.050","mg/m3","93.99","","Traffic","urban","5.3974","43.2764","17.0","Marseille                                                                       ","FR203C1                                           ","895431","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR02005","","SPO-FR02005_00004_110","SPM","Total suspended particulates (aerosol)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2000","15.000","ug/m3","94.26","","Background","urban","5.0516","43.4053","2.0","Martigues                                                                       ","FR324C1                                           ","64704","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR02008","","SPO-FR02008_00007_100","O3","Ozone (air)","P1Y-dmax-per93.15","1 year 93.15 percentile daily 8h maximum","2000","125.250","ug/m3","95.90","","Background","urban","4.9819","43.4019","3.0","Martigues                                                                       ","FR324C1                                           ","64704","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR03019","","SPO-FR03019_00007_100","O3","Ozone (air)","AOT40f","AOT40 for forest protection","2000","32424.000","ug/m3","96.86","","Background","suburban","5.3202","43.4095","140.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR03022","","SPO-FR03022_00001_100","SO2","Sulphur dioxide (air)","P1Y-day-max","1 year day max","2000","79.000","ug/m3","97.27","","Industrial","suburban","5.4142","43.4508","257.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR02025","","SPO-FR02025_00008_100","NO2","Nitrogen dioxide (air)","P1Y-hr-per50","1 year 50 percentile","2000","16.000","ug/m3","87.85","","Background","urban","4.8053","43.6325","17.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR02031","","SPO-FR02031_00007_100","O3","Ozone (air)","P1Y-dx-max26","1 year daymax max 26","2000","122.000","ug/m3","97.81","","Background","urban","5.2169","43.4157","10.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR02032","","SPO-FR02032_00001_100","SO2","Sulphur dioxide (air)","P1Y-daysAbove125","1 year day exceed 125","2000","0.000","count","1.64","","Industrial","rural","5.3017","43.4522","200.0","Aix-en-Provence                                                                 ","FR202C1                                           ","142482","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR03001","","SPO-FR03001_00010_100","CO","Carbon monoxide (air)","P1Y-day-max","1 year day max","2000","2.916","mg/m3","96.18","","Traffic","suburban","5.3833","43.2797","38.0","Marseille                                                                       ","FR203C1                                           ","895431","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR03010","","SPO-FR03010_00001_100","SO2","Sulphur dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2000","16.000","ug/m3","89.89","","Traffic","urban","5.3883","43.3017","38.0","Marseille                                                                       ","FR203C1                                           ","895431","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR03017","","SPO-FR03017_00008_100","NO2","Nitrogen dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2000","44.042","ug/m3","97.27","","Traffic","suburban","5.5681","43.2942","105.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
"France","","","FR03019","","SPO-FR03019_00007_100","O3","Ozone (air)","P1Y-hr-per50","1 year 50 percentile","2000","37.000","ug/m3","94.42","","Background","suburban","5.3202","43.4095","140.0","","","","Reporting within EoI/AirBase 8","31/12/2012 00:00:00","",""
